designation,class_bus,class_demeo,slope,PC1,PC2,PC3,PC4,PC5,name,number,class_
2504,Sq,Sr,0.1126,0.0951,0.0954,-0.0293,0.0582,0.0279,Gaviola,2504.0,Sr
2521,S,S,0.0789,0.0866,-0.009,0.0278,-0.0296,-0.0044,Heidi,2521.0,S
2566,V,V,0.0441,0.7136,0.8479,-0.1093,0.0515,-0.0638,Kirghizia,2566.0,V
2579,V,V,0.0889,0.3419,0.8659,0.2123,0.0075,-0.1497,Spartacus,2579.0,V
2715,A,Sw,0.3118,0.3235,-0.1613,0.2232,-0.0447,-0.0086,Mielikki,2715.0,Sw
2732,A,L,0.2002,0.7163,-0.3427,0.1762,-0.1555,0.0295,Witt,2732.0,L
2851,V,V,0.1538,0.6727,0.9608,-0.1887,-0.2213,0.0734,Harbin,2851.0,V
2873,Sq,Sq,0.1345,-0.1752,0.1131,0.1473,0.0673,-0.0298,Binzel,2873.0,Sq
2875,S,S,0.1293,0.2965,-0.0846,0.0667,-0.0463,0.0142,Lagerkvist,2875.0,S
2911,S,Sw,0.2679,0.2209,-0.0071,0.091,0.0362,0.0121,Miahelena,2911.0,Sw
2912,V,V,0.1982,0.6001,1.1117,-0.2085,-0.0381,0.0291,Lapalma,2912.0,V
