number,name,date_obs,shortbib
3968.0,Koptelov,1992-09-05,Xu+ 1995
3968.0,Koptelov,1992-09-06,Xu+ 1995
3999.0,Aristarchus,1992-11-26,Xu+ 1995
4002.0,Shinagawa,1993-01-22,Xu+ 1995
4005.0,Dyagilev,1991-12-07,Xu+ 1995
4005.0,Dyagilev,1991-12-08,Xu+ 1995
4006.0,Sandler,1992-11-26,Xu+ 1995
4025.0,Ridley,1991-11-01,Xu+ 1995
4031.0,Mueller,1992-11-27,Xu+ 1995
4038.0,Kristina,1991-10-28,Xu+ 1995
4038.0,Kristina,1991-10-29,Xu+ 1995
4062.0,Schiaparelli,1991-11-01,Xu+ 1995
4085.0,Weir,1991-10-31,Xu+ 1995
4014.0,Heizman,1991-12-07,Xu+ 1995
4145.0,Maximova,1991-10-29,Xu+ 1995
4147.0,Lennon,1992-09-05,Xu+ 1995
4147.0,Lennon,1992-09-06,Xu+ 1995
4156.0,Okadanoboru,1991-11-01,Xu+ 1995
4159.0,Freeman,1992-01-13,Xu+ 1995
4165.0,Didkovskij,1992-09-07,Xu+ 1995
4179.0,Toutatis,1992-09-05,Xu+ 1995
4179.0,Toutatis,1993-01-01,Xu+ 1995
4179.0,Toutatis,1993-01-04,Xu+ 1995
4179.0,Toutatis,1993-01-21,Xu+ 1995
4179.0,Toutatis,1993-01-22,Xu+ 1995
4215.0,Kamo,1993-01-21,Xu+ 1995
4219.0,Nakamura,1992-03-14,Xu+ 1995
4282.0,Endate,1991-12-15,Xu+ 1995
4353.0,Onizaki,1992-09-06,Xu+ 1995
4353.0,Onizaki,1992-09-07,Xu+ 1995
4370.0,Dickens,1992-11-28,Xu+ 1995
4373.0,Crespo,1992-12-02,Xu+ 1995
4376.0,Shigemori,1992-12-01,Xu+ 1995
4376.0,Shigemori,1992-12-02,Xu+ 1995
4440.0,Tchantches,1992-12-02,Xu+ 1995
4510.0,Shawna,1993-01-21,Xu+ 1995
4546.0,Franck,1992-11-28,Xu+ 1995
4562.0,Poleungkuk,1991-12-07,Xu+ 1995
4606.0,Saheki,1991-12-16,Xu+ 1995
4635.0,Rimbaud,1991-12-07,Xu+ 1995
4635.0,Rimbaud,1992-03-12,Xu+ 1995
4640.0,Hara,1991-12-15,Xu+ 1995
4673.0,Bortle,1992-03-11,Xu+ 1995
4761.0,Urrutia,1992-11-30,Xu+ 1995
4761.0,Urrutia,1992-12-01,Xu+ 1995
4761.0,Urrutia,1992-12-02,Xu+ 1995
4939.0,Scovil,1991-12-13,Xu+ 1995
4939.0,Scovil,1991-12-14,Xu+ 1995
4948.0,Hideonishimura,1991-10-31,Xu+ 1995
4956.0,Noymer,1992-03-12,Xu+ 1995
5065.0,Johnstone,1993-01-22,Xu+ 1995
5118.0,Elnapoul,1992-09-07,Xu+ 1995
5145.0,Pholus,1992-03-12,Xu+ 1995
7341.0,1991 VK,1991-12-14,Xu+ 1995
5143.0,Heracles,1991-12-14,Xu+ 1995
8176.0,1991 WA,1991-12-14,Xu+ 1995
,1991 XB,1991-12-15,Xu+ 1995
11066.0,Sigurd,1992-03-12,Xu+ 1995
65706.0,1992 NA,1992-09-09,Xu+ 1995
7474.0,1992 TC,1992-11-28,Xu+ 1995
415690.0,1992 UB,1992-11-27,Xu+ 1995
1.0,Ceres,1993-08-22,Bus and Binzel 2002
1.0,Ceres,1994-01-07,Bus and Binzel 2002
1.0,Ceres,1998-10-14,Bus and Binzel 2002
2.0,Pallas,1993-08-22,Bus and Binzel 2002
3.0,Juno,1994-02-23,Bus and Binzel 2002
3.0,Juno,1996-10-12,Bus and Binzel 2002
4.0,Vesta,1996-04-18,Bus and Binzel 2002
5.0,Astraea,1995-02-08,Bus and Binzel 2002
6.0,Hebe,1994-03-31,Bus and Binzel 2002
7.0,Iris,1995-09-04,Bus and Binzel 2002
7.0,Iris,1996-01-28,Bus and Binzel 2002
10.0,Hygiea,1994-01-06,Bus and Binzel 2002
10.0,Hygiea,1994-02-22,Bus and Binzel 2002
10.0,Hygiea,1994-02-23,Bus and Binzel 2002
10.0,Hygiea,1996-10-12,Bus and Binzel 2002
11.0,Parthenope,1995-02-08,Bus and Binzel 2002
12.0,Victoria,1997-11-24,Bus and Binzel 2002
13.0,Egeria,1995-09-04,Bus and Binzel 2002
14.0,Irene,1995-10-28,Bus and Binzel 2002
14.0,Irene,1998-10-15,Bus and Binzel 2002
15.0,Eunomia,1996-04-22,Bus and Binzel 2002
15.0,Eunomia,1996-04-23,Bus and Binzel 2002
15.0,Eunomia,1998-10-13,Bus and Binzel 2002
16.0,Psyche,1997-02-27,Bus and Binzel 2002
17.0,Thetis,1993-08-21,Bus and Binzel 2002
18.0,Melpomene,1997-01-19,Bus and Binzel 2002
18.0,Melpomene,1997-04-08,Bus and Binzel 2002
19.0,Fortuna,1994-11-13,Bus and Binzel 2002
20.0,Massalia,1995-12-09,Bus and Binzel 2002
21.0,Lutetia,1996-11-29,Bus and Binzel 2002
22.0,Kalliope,1996-10-12,Bus and Binzel 2002
23.0,Thalia,1998-01-07,Bus and Binzel 2002
24.0,Themis,1994-11-15,Bus and Binzel 2002
24.0,Themis,1994-11-16,Bus and Binzel 2002
25.0,Phocaea,1997-01-20,Bus and Binzel 2002
26.0,Proserpina,1996-05-01,Bus and Binzel 2002
27.0,Euterpe,1997-11-24,Bus and Binzel 2002
28.0,Bellona,1996-11-30,Bus and Binzel 2002
29.0,Amphitrite,1997-02-24,Bus and Binzel 2002
30.0,Urania,1994-01-06,Bus and Binzel 2002
31.0,Euphrosyne,1994-11-05,Bus and Binzel 2002
32.0,Pomona,1997-01-17,Bus and Binzel 2002
33.0,Polyhymnia,1995-12-15,Bus and Binzel 2002
34.0,Circe,1994-11-14,Bus and Binzel 2002
34.0,Circe,1995-02-12,Bus and Binzel 2002
35.0,Leukothea,1995-05-14,Bus and Binzel 2002
37.0,Fides,1994-01-06,Bus and Binzel 2002
37.0,Fides,1994-04-01,Bus and Binzel 2002
