name,number,inst,run,filename
2003 YE45,90403,spex,sp67,a090403.sp67.txt
2001 OZ13,68359,spex,sp67,a068359.sp67.txt
Hebe,6,spex,sp67,a000006.sp67.txt
Barbara,234,spex,sp57,a000234.sp57.txt
Hephaistos,2212,spex,sp57,a002212.sp57.txt
2006 WS3,,spex,sp57,au2006WS3.sp57.txt
2006 UN216,,spex,sp57,au2006UN216.sp57.txt
Helena,101,spex,sp57,a000101.sp57.txt
Steins,2867,spex,sp57,a002867.sp57.txt
2003 SD220,163899,spex,sp57,au2003SD220.sp57.txt
2004 XL14,525268,spex,sp57,au2004XL14.sp57.txt
2001 XP1,307005,spex,sp57,au2001XP1.sp57.txt
2004 OB,440212,spex,sp35,au2004OB.sp35.txt
Camarillo,5653,spex,sp35,a005653.sp35.txt
Tengstrom,2195,spex,sp35,a002195.sp35.txt
Apophis,99942,spex,sp35,au2004MN4.sp35.txt
Hela,699,spex,sp35,a000699.sp35.txt
Thule,279,spex,sp35,a000279.sp35.txt
Marcelle,1300,spex,sp55,a001300.sp55.txt
Savo,1494,spex,sp55,a001494.sp55.txt
Mackwell,5292,spex,sp55,a005292.sp55.txt
Tezcatlipoca,1980,spex,sp55,a001980.sp55.txt
O'Keefe,6585,spex,sp55,a006585.sp55.txt
Frigga,77,spex,sp55,a000077.sp55.txt
Kalliope,22,spex,sp55,a000022.sp55.txt
1992 SK,10115,spex,sp55,a010115.sp55.txt
1998 SS49,85713,spex,sp55,a085713.sp55.txt
1999 TG21,86212,spex,sp55,a086212.sp55.txt
1999 VM40,53435,spex,sp55,a053435.sp55.txt
2006 RG2,461912,spex,sp55,au2006RG2.sp55.txt
Heracles,5143,spex,sp55,a005143.sp55.txt
2006 UC185,,spex,sp55,au2006UC185.sp55.txt
2001 CP44,25916,spex,sp55,a025916.sp55.txt
2006 UC185,,spex,sp55,au2006UC185.sp55_README.txt
Polana,142,spex,sp86,a000142.sp86.txt
1998 VF32,480820,spex,sp86,au1998vf32.sp86.txt
Vesta,4,spex,sp86,a000004.sp86.txt
2020 DX,,spex,sp264,au2020dx.sp264n2.txt
2017 BM123,,spex,sp264,au2017bm123.sp264n1.txt
1996 EN,8566,spex,sp264,a008566.sp264n2.txt
1998 OR2,52768,spex,sp264,a052768.sp264n2.txt
2015 BK509,,spex,sp264,au2015bk509.sp264n2.txt
2005 EA94,154993,spex,sp264,a154993.sp264n1.txt
1991 DG,65690,spex,sp264,a065690.sp264n1.txt
2012 DJ61,531060,spex,sp264,a531060.sp264n1.txt
2000 BO28,612143,spex,sp264,au2000bo28.sp264n1.txt
2005 GR33,,spex,sp38,au2005GR33.sp38.txt
Berbericia,776,spex,sp38,a000776.sp38.txt
McCleese,5641,spex,sp38,a005641.sp38.txt
1999 HF1,137170,spex,sp38,au1999HF1.sp38.txt
2005 GO22,438105,spex,sp38,au2005GO22.sp38.txt
